"AccountScore","Account Id","BillingState","CloseDate","Division","Industry","Ownership","Rating","StartDate","Type","CLV"
"B",2156,"Texas","2015-08-28","Compliance","Consulting","Private","Hot","2015-06-09","Customer",45701
"B",9726,"Texas","2015-08-03","Ground Vehicle","Consulting","Private","Cold","2015-05-10","Consulting",25200
"B",9803,"Texas","2016-01-19","Ground Vehicle","Consulting","Private","Hot","2015-11-13","Customer",19200
"I",44001,"California","2016-01-23","Standard Materials","Retail","Public","Cold","2015-12-24","Customer",21160
"D",54314,"California","2014-03-08","Navigation","Retail","Public","Cold","2014-01-27","Customer",19640
"J",21952,"Texas","2015-09-28","Engine Parts","Retail","Public","Cold","2015-08-26","Customer",19640
"E",7864,"Texas","2015-07-04","Mapping","Hospitality","Private","Warm","2015-05-04","Reseller",23060
"J",49414,"Texas","2015-02-04","Standard Hardware","Retail","Public","Warm","2014-12-29","Consulting",11230
"B",14923,"Texas","2014-04-20","Ground Vehicle","Hospitality","Private","Cold","2014-02-12","Customer",19200
"F",13215,"New York","2014-06-13","Ground Vehicle","Technology","Private","Hot","2014-04-07","Competitor",25680
"C",43461,"Texas","2015-11-06","Standard Materials","Banking","Public","Cold","2015-10-07","Customer",19160
"G",24045,"California","2015-10-28","Frames","Hospitality","Private","Hot","2015-09-14","Customer",20330
"B",8431,"Texas","2015-10-16","Mapping","Consulting","Private","Hot","2015-07-26","Customer",24700
"I",6002,"Texas","2015-10-07","Standard Mounts","Retail","Private","Cold","2015-08-12","Customer",19200
"G",42757,"Texas","2016-01-13","Standard Materials","Biotechnology","Public","Warm","2015-12-13","Customer",19160
"G",2009,"California","2015-11-09","Compliance","Shipping","Private","Hot","2015-09-24","Customer",22640
"B",24874,"California","2016-02-16","Frames","Technology","Private","Hot","2015-11-25","Customer",21910
"D",9284,"California","2015-06-19","Ground Vehicle","Shipping","Public","Cold","2015-04-24","Customer",19200
"J",11550,"Boston","2015-10-10","Ground Vehicle","Retail","Private","Cold","2015-08-15","Customer",18680
"B",18699,"Texas","2015-06-24","Miniaturized Parts","Biotechnology","Public","Hot","2015-04-03","Competitor",18890
"B",9963,"Texas","2014-10-27","Ground Vehicle","Hospitality","Public","Warm","2014-07-30","Consulting",19680
"D",53880,"Texas","2016-01-07","Navigation","Banking","Public","Cold","2015-12-04","Customer",21640
"B",19673,"New York","2015-02-28","Miniaturized Parts","Shipping","Public","Hot","2015-02-08","Customer",17890
"F",12431,"Texas","2014-12-18","Ground Vehicle","Hospitality","Private","Warm","2014-10-07","Customer",19200
"D",994,"Texas","2014-03-27","Compliance","Technology","Public","Hot","2014-01-29","Customer",17640
"I",48592,"Boston","2015-12-23","Standard Hardware","Retail","Public","Warm","2015-11-02","Partner",16230
"I",9588,"Boston","2014-04-12","Ground Vehicle","Retail","Private","Hot","2014-02-11","Customer",19200
"D",10490,"New York","2015-06-12","Ground Vehicle","Banking","Private","Hot","2015-04-15","Customer",21680
"G",16940,"Texas","2015-07-18","Ground Vehicle","Consulting","Private","Hot","2015-05-21","Customer",19200
"B",13396,"New York","2015-05-06","Ground Vehicle","Biotechnology","Public","Hot","2015-02-12","Competitor",26680
"B",16555,"Texas","2015-09-10","Ground Vehicle","Retail","Private","Cold","2015-06-18","Customer",19200
"B",16058,"Texas","2015-11-26","Ground Vehicle","Apparel","Public","Hot","2015-09-02","Customer",19200
"A",15449,"Boston","2016-01-23","Ground Vehicle","Banking","Private","Hot","2015-12-03","Competitor",19200
"A",13592,"New York","2015-06-28","Ground Vehicle","Apparel","Private","Hot","2015-04-29","Competitor",19200
"E",15484,"New York","2015-01-14","Ground Vehicle","Manufacturing","Private","Hot","2014-11-09","Customer",21680
"C",50353,"Texas","2014-07-25","Standard Hardware","Hospitality","Private","Warm","2014-05-24","Partner",9230
"F",1675,"Texas","2015-08-14","Compliance","Manufacturing","Public","Hot","2015-05-30","Customer",18220
"F",1503,"California","2014-10-26","Compliance","Hospitality","Public","Hot","2014-07-30","Customer",27640
"G",21580,"New York","2015-07-04","Engine Parts","Apparel","Public","Hot","2015-06-10","Customer",20160
"D",42548,"New York","2015-12-21","Standard Materials","Banking","Public","Cold","2015-11-19","Customer",19160
"D",50899,"Texas","2015-12-04","Standard Hardware","Retail","Private","Warm","2015-09-28","Consulting",16230
"B",51757,"California","2014-08-09","Raw Materials","Technology","Public","Hot","2014-05-16","Customer",19120
"C",21832,"New York","2014-06-07","Engine Parts","Banking","Public","Cold","2014-05-03","Customer",20160
"B",5468,"Texas","2015-12-13","Standard Mounts","Consulting","Public","Hot","2015-10-01","Customer",20200
"B",49120,"Texas","2014-03-24","Standard Hardware","Apparel","Public","Hot","2014-01-02","Partner",14230
"F",41994,"Boston","2015-04-25","Standard Materials","Shipping","Public","Cold","2015-03-31","Customer",19160
"M",1409,"Texas","2015-06-03","Compliance","Consulting","Private","Hot","2015-03-31","Customer",19640
"A",25214,"Texas","2014-04-04","Frames","Shipping","Private","Hot","2014-03-03","Customer",19330
"H",12161,"Texas","2014-09-24","Ground Vehicle","Hospitality","Private","Warm","2014-08-05","Customer",18680
"C",42489,"Texas","2014-07-28","Standard Materials","Banking","Public","Cold","2014-06-24","Customer",20160
"F",2134,"Texas","2015-01-22","Compliance","Consulting","Public","Hot","2014-10-30","Consulting",17640
"I",50947,"Boston","2014-06-27","Standard Hardware","Retail","Private","Cold","2014-05-08","Consulting",23230
"G",5809,"California","2015-03-30","Standard Mounts","Hospitality","Public","Hot","2015-03-30","Customer",33400
"E",11943,"Texas","2016-01-30","Ground Vehicle","Consulting","Private","Hot","2015-11-26","Customer",19200
"A",10493,"Boston","2014-05-30","Ground Vehicle","Banking","Private","Cold","2014-03-16","Customer",19200
"B",16748,"Boston","2015-02-06","Ground Vehicle","Retail","Public","Cold","2014-11-22","Customer",19200
"A",44288,"California","2014-10-08","Standard Materials","Hospitality","Public","Hot","2014-09-15","Competitor",20640
"B",12399,"California","2015-03-29","Ground Vehicle","Hospitality","Private","Hot","2015-01-17","Customer",21200
"K",17645,"Texas","2015-12-07","Ground Vehicle","Hospitality","Private","Warm","2015-10-05","Customer",19200
"G",7592,"New York","2015-11-02","Mapping","Technology","Public","Hot","2015-08-27","Competitor",28700
"F",5935,"New York","2016-01-26","Standard Mounts","Retail","Private","Cold","2015-11-20","Customer",19200
"B",6939,"Texas","2014-06-12","Mapping","Banking","Private","Warm","2014-04-08","Customer",27060
"B",9428,"California","2015-10-02","Ground Vehicle","Retail","Public","Cold","2015-07-26","Customer",19200
"F",6920,"New York","2015-09-05","Mapping","Banking","Public","Hot","2015-07-08","Customer",16700
"F",3262,"Texas","2015-02-27","Compliance","Manufacturing","Private","Hot","2014-12-13","Customer",20220
"C",1306,"Texas","2015-04-27","Compliance","Consulting","Public","Hot","2015-03-04","Consulting",19220
"B",12588,"Texas","2014-06-05","Ground Vehicle","Hospitality","Private","Warm","2014-03-11","Customer",26680
"B",23927,"Texas","2015-10-09","Frames","Apparel","Public","Hot","2015-07-11","Customer",21910
"D",44360,"New York","2014-11-13","Standard Materials","Banking","Public","Cold","2014-10-18","Customer",20160
"F",496,"New York","2014-04-21","Naval","Shipping","Public","Hot","2014-02-05","Customer",17180
"B",52383,"New York","2014-03-16","Raw Materials","Manufacturing","Private","Hot","2014-01-18","Customer",18120
"C",49529,"Texas","2014-04-07","Standard Hardware","Consulting","Public","Hot","2014-02-11","Consulting",7230
"G",21779,"Texas","2014-02-19","Engine Parts","Hospitality","Public","Hot","2014-01-28","Customer",20160
"F",48537,"Texas","2015-09-21","Standard Hardware","Shipping","Public","Hot","2015-07-14","Customer",14230
"B",10084,"California","2015-01-12","Ground Vehicle","Hospitality","Private","Warm","2014-11-15","Customer",19200
"D",21515,"New York","2015-11-08","Engine Parts","Banking","Public","Cold","2015-09-28","Customer",27640
"B",5345,"Texas","2015-12-25","Standard Mounts","Biotechnology","Private","Hot","2015-10-15","Customer",23060
"F",5587,"Texas","2014-07-08","Standard Mounts","Shipping","Private","Warm","2014-04-23","Customer",21200
"B",8714,"California","2015-11-08","Ground Vehicle","Technology","Public","Hot","2015-09-04","Customer",44555
"F",7399,"New York","2015-09-06","Mapping","Banking","Private","Hot","2015-06-12","Customer",25700
"C",2449,"Texas","2015-11-21","Compliance","Manufacturing","Private","Hot","2015-09-28","Customer",19640
"E",17711,"Texas","2015-11-26","Ground Vehicle","Hospitality","Private","Hot","2015-09-22","Customer",20200
"B",13240,"California","2014-12-16","Ground Vehicle","Technology","Public","Hot","2014-10-05","Competitor",25200
"C",15948,"Texas","2015-07-15","Ground Vehicle","Biotechnology","Private","Hot","2015-05-19","Competitor",18680
"B",70,"New York","2014-06-23","Naval","Apparel","Public","Hot","2014-03-31","Customer",21180
"A",49041,"Texas","2014-04-20","Standard Hardware","Shipping","Public","Cold","2014-02-24","Customer",13230
"A",22068,"California","2015-03-09","Engine Parts","Hospitality","Public","Cold","2015-02-15","Customer",22160
"B",51422,"Texas","2015-12-24","Raw Materials","Apparel","Public","Hot","2015-09-28","Customer",18120
"D",13896,"California","2014-05-04","Ground Vehicle","Shipping","Private","Hot","2014-03-22","Competitor",19680
"F",23873,"California","2014-11-13","Frames","Technology","Public","Hot","2014-09-04","Customer",20330
"B",3408,"New York","2014-06-16","Compliance","Technology","Private","Hot","2014-03-25","Competitor",34220
"D",3437,"Texas","2014-06-25","Compliance","Biotechnology","Private","Hot","2014-04-30","Competitor",23640
"E",54357,"Texas","2015-03-10","Navigation","Hospitality","Public","Cold","2015-02-12","Customer",20640
"B",52236,"New York","2014-10-21","Raw Materials","Consulting","Private","Hot","2014-08-12","Competitor",31120
"F",19318,"Texas","2016-02-16","Miniaturized Parts","Shipping","Private","Hot","2015-11-23","Customer",19890
"M",836,"Texas","2015-08-29","Naval","Shipping","Public","Hot","2015-07-02","Competitor",17180
"B",18730,"New York","2015-06-07","Miniaturized Parts","Apparel","Public","Hot","2015-05-05","Customer",19890
"B",14724,"Texas","2015-01-15","Ground Vehicle","Hospitality","Public","Cold","2014-10-26","Customer",18680
"G",10437,"Texas","2014-04-29","Ground Vehicle","Banking","Private","Hot","2014-02-24","Customer",20680
"H",44221,"Boston","2014-03-14","Standard Materials","Hospitality","Public","Cold","2014-02-08","Customer",19160
"E",14510,"Texas","2015-08-23","Ground Vehicle","Consulting","Private","Hot","2015-06-25","Competitor",21200
"E",44208,"Texas","2015-04-27","Standard Materials","Hospitality","Public","Cold","2015-03-18","Customer",18160
"B",17200,"Texas","2016-02-12","Ground Vehicle","Hospitality","Private","Cold","2015-11-30","Customer",19200
"F",2227,"California","2015-08-08","Compliance","Hospitality","Private","Warm","2015-05-31","Customer",19640
"B",11172,"Texas","2015-04-25","Ground Vehicle","Apparel","Private","Hot","2015-02-14","Customer",19200
"G",43284,"California","2014-04-24","Standard Materials","Hospitality","Public","Cold","2014-03-20","Reseller",19160
"C",44443,"Texas","2015-11-08","Standard Materials","Banking","Public","Cold","2015-10-06","Customer",19160
"C",3955,"Texas","2014-06-15","Compliance","Banking","Private","Hot","2014-04-15","Competitor",19640
"H",41824,"California","2015-11-14","Standard Materials","Apparel","Public","Cold","2015-10-11","Customer",19160
"H",2992,"Texas","2014-07-27","Compliance","Consulting","Private","Hot","2014-06-11","Customer",18640
"A",19356,"Texas","2015-03-16","Miniaturized Parts","Technology","Private","Hot","2015-01-29","Competitor",25890
"H",54454,"New York","2014-04-29","Navigation","Apparel","Public","Hot","2014-03-28","Competitor",19640
"C",5652,"Boston","2015-11-04","Standard Mounts","Retail","Private","Cold","2015-09-10","Customer",19200
"A",41449,"Boston","2015-03-03","Standard Materials","Banking","Public","Cold","2015-02-04","Customer",19160
"F",13721,"New York","2015-09-10","Ground Vehicle","Apparel","Private","Hot","2015-07-10","Customer",19200
"C",17017,"Texas","2015-12-16","Ground Vehicle","Consulting","Private","Cold","2015-10-21","Customer",19200
"C",41203,"Texas","2014-03-07","Standard Materials","Consulting","Public","Cold","2014-02-04","Partner",20160
"F",405,"Texas","2016-01-05","Naval","Hospitality","Private","Hot","2015-10-23","Customer",16180
"C",42526,"Texas","2014-12-14","Standard Materials","Banking","Public","Cold","2014-11-09","Customer",20160
"G",7315,"New York","2015-11-09","Mapping","Hospitality","Private","Warm","2015-09-09","Customer",27060
"B",10445,"New York","2015-01-17","Ground Vehicle","Banking","Private","Hot","2014-10-20","Customer",19680
"A",52051,"New York","2016-01-06","Raw Materials","Technology","Public","Hot","2015-11-16","Competitor",34120
"B",14769,"Boston","2015-05-24","Ground Vehicle","Hospitality","Private","Warm","2015-03-15","Customer",19200
"B",52010,"Texas","2015-04-28","Raw Materials","Manufacturing","Public","Hot","2015-02-04","Customer",23120
"F",2504,"Texas","2015-01-29","Compliance","Shipping","Private","Warm","2014-11-21","Consulting",17640
"C",43723,"Texas","2015-12-15","Standard Materials","Apparel","Public","Cold","2015-11-22","Customer",18160
"G",51556,"California","2014-04-11","Raw Materials","Hospitality","Public","Hot","2014-02-18","Customer",7580
"B",52548,"California","2015-10-21","Raw Materials","Shipping","Public","Hot","2015-07-25","Competitor",17120
"D",13139,"Texas","2014-06-16","Ground Vehicle","Shipping","Private","Warm","2014-04-02","Customer",19200
"E",42903,"New York","2014-03-30","Standard Materials","Apparel","Public","Hot","2014-02-23","Competitor",19160
"A",10845,"New York","2015-10-22","Ground Vehicle","Manufacturing","Private","Cold","2015-08-28","Customer",19200
"B",517,"California","2015-08-19","Naval","Technology","Private","Hot","2015-06-02","Competitor",15880
"E",14927,"Texas","2014-11-14","Ground Vehicle","Hospitality","Private","Warm","2014-09-14","Customer",19200
"B",50425,"Texas","2014-09-11","Standard Hardware","Shipping","Public","Warm","2014-07-05","Customer",18230
"B",8594,"Texas","2015-07-23","Mapping","Manufacturing","Public","Hot","2015-04-24","Customer",18700
"A",2434,"Boston","2014-04-22","Compliance","Manufacturing","Private","Hot","2014-02-25","Customer",19640
"D",18792,"Texas","2014-10-27","Miniaturized Parts","Retail","Private","Hot","2014-10-01","Customer",17890
"A",21245,"Texas","2015-04-11","Engine Parts","Apparel","Public","Hot","2015-03-16","Customer",19640
"B",3806,"California","2016-02-04","Compliance","Hospitality","Public","Warm","2015-11-23","Consulting",25640
"B",16745,"Boston","2014-12-03","Ground Vehicle","Retail","Public","Cold","2014-09-18","Customer",19200
"E",3795,"Texas","2014-07-10","Compliance","Hospitality","Private","Warm","2014-05-12","Consulting",18640
"B",12619,"Texas","2015-04-30","Ground Vehicle","Hospitality","Private","Warm","2015-02-20","Customer",19200
"D",21990,"Texas","2015-04-28","Engine Parts","Retail","Public","Cold","2015-04-06","Customer",19640
"F",15021,"Texas","2015-03-08","Ground Vehicle","Hospitality","Private","Warm","2014-12-27","Customer",19200
"F",17527,"Texas","2015-06-10","Ground Vehicle","Hospitality","Public","Hot","2015-03-24","Customer",23200
"C",1925,"Texas","2015-04-29","Compliance","Biotechnology","Private","Hot","2015-03-12","Customer",19640
"F",10540,"Texas","2015-02-23","Ground Vehicle","Banking","Public","Cold","2014-12-14","Customer",19200
"B",160,"California","2015-04-06","Naval","Hospitality","Public","Hot","2015-02-06","Customer",16180
"A",8952,"California","2014-04-06","Ground Vehicle","Apparel","Public","Hot","2014-01-23","Customer",20680
"B",18405,"New York","2014-09-13","Miniaturized Parts","Shipping","Public","Hot","2014-07-30","Customer",14440
"J",50250,"Texas","2015-04-23","Standard Hardware","Consulting","Public","Hot","2015-02-25","Customer",44895
"A",16831,"California","2015-12-02","Ground Vehicle","Retail","Private","Hot","2015-10-08","Competitor",19200
"H",54552,"New York","2014-03-16","Navigation","Retail","Public","Cold","2014-02-23","Reseller",19640
"A",1175,"California","2015-12-31","Compliance","Shipping","Private","Hot","2015-10-29","Customer",18640
"F",49742,"Texas","2015-11-10","Standard Hardware","Shipping","Private","Cold","2015-08-27","Consulting",15230
"C",51017,"Texas","2015-10-31","Standard Hardware","Consulting","Private","Cold","2015-09-28","Consulting",13230
"B",7267,"California","2015-11-26","Mapping","Retail","Private","Hot","2015-09-19","Customer",21200
"E",3101,"California","2015-09-20","Compliance","Hospitality","Private","Hot","2015-07-18","Competitor",30220
"B",24395,"Texas","2014-12-15","Frames","Banking","Private","Warm","2014-10-19","Consulting",18680
"B",9589,"California","2014-09-20","Ground Vehicle","Retail","Private","Cold","2014-06-30","Customer",21680
"A",54670,"Texas","2015-10-19","Navigation","Shipping","Public","Hot","2015-09-29","Customer",19640
"B",49133,"Texas","2015-03-06","Standard Hardware","Apparel","Public","Hot","2014-12-16","Partner",9230
"E",43224,"Texas","2014-05-18","Standard Materials","Consulting","Public","Cold","2014-04-07","Customer",20160
"A",16158,"Texas","2015-09-18","Ground Vehicle","Apparel","Private","Hot","2015-07-27","Customer",19200
"F",8352,"New York","2015-06-03","Mapping","Retail","Public","Hot","2015-03-30","Competitor",18700
"B",18429,"California","2014-11-12","Miniaturized Parts","Retail","Private","Hot","2014-09-02","Customer",15090
"A",49854,"New York","2014-08-27","Standard Hardware","Shipping","Public","Cold","2014-08-11","Consulting",10230
"C",6905,"Texas","2015-02-25","Mapping","Banking","Public","Hot","2014-12-26","Customer",23700
"A",9442,"California","2015-05-30","Ground Vehicle","Retail","Private","Cold","2015-04-08","Customer",20200
"B",2950,"Texas","2014-11-13","Compliance","Consulting","Public","Hot","2014-08-21","Consulting",18640
"C",41168,"Texas","2014-06-03","Standard Materials","Retail","Public","Cold","2014-04-28","Customer",21160
"A",10784,"California","2015-08-12","Ground Vehicle","Manufacturing","Public","Hot","2015-06-18","Customer",20200
"C",40990,"Texas","2014-08-22","Standard Materials","Apparel","Public","Hot","2014-07-19","Customer",19160
"B",3804,"California","2014-10-04","Compliance","Hospitality","Private","Warm","2014-07-24","Consulting",21640
"A",21390,"Texas","2015-04-09","Engine Parts","Consulting","Public","Cold","2015-03-17","Customer",20640
"F",2480,"Texas","2014-11-20","Compliance","Shipping","Private","Hot","2014-09-02","Customer",19220
"F",5636,"Texas","2015-12-27","Standard Mounts","Retail","Private","Cold","2015-10-23","Customer",19200
"B",11130,"Texas","2015-11-07","Ground Vehicle","Biotechnology","Private","Hot","2015-08-25","Customer",21200
"F",25167,"Texas","2014-07-26","Frames","Manufacturing","Private","Hot","2014-04-27","Customer",20330
"A",15471,"Texas","2014-12-21","Ground Vehicle","Banking","Private","Cold","2014-10-29","Customer",19200
"B",1334,"Texas","2015-06-25","Compliance","Consulting","Public","Cold","2015-04-23","Consulting",26640
"H",1290,"Texas","2016-02-13","Compliance","Retail","Private","Hot","2015-12-15","Customer",20640
"C",41518,"Texas","2015-03-28","Standard Materials","Banking","Public","Cold","2015-02-23","Customer",18160
"B",49563,"Texas","2014-06-18","Standard Hardware","Consulting","Public","Cold","2014-04-05","Customer",16230
"B",6863,"California","2014-05-17","Mapping","Hospitality","Private","Hot","2014-03-14","Customer",37060
"B",14362,"Boston","2015-08-19","Ground Vehicle","Retail","Public","Warm","2015-06-08","Consulting",19200
"A",21480,"California","2014-07-16","Engine Parts","Hospitality","Public","Cold","2014-06-11","Customer",19400
"A",22083,"California","2015-12-26","Engine Parts","Hospitality","Public","Warm","2015-12-09","Customer",21640
"H",15667,"Boston","2014-09-27","Ground Vehicle","Shipping","Private","Warm","2014-07-24","Customer",19200
"G",7261,"California","2014-05-13","Mapping","Retail","Private","Hot","2014-03-14","Customer",22060
"B",8613,"Texas","2015-09-10","Mapping","Manufacturing","Private","Hot","2015-07-11","Customer",17700
"D",10947,"Texas","2014-11-04","Ground Vehicle","Shipping","Private","Hot","2014-08-27","Customer",21200
"B",9769,"Texas","2015-10-03","Ground Vehicle","Consulting","Private","Hot","2015-08-02","Customer",19200
"B",5405,"New York","2015-03-05","Standard Mounts","Retail","Public","Warm","2014-12-12","Consulting",20200
"C",13368,"Texas","2014-11-24","Ground Vehicle","Biotechnology","Private","Warm","2014-10-04","Reseller",19200
"I",19131,"California","2014-07-21","Miniaturized Parts","Retail","Private","Hot","2014-06-01","Competitor",14740
"G",13276,"California","2014-11-14","Ground Vehicle","Technology","Public","Cold","2014-09-04","Customer",19200
"F",10896,"Texas","2016-03-13","Ground Vehicle","Shipping","Public","Hot","2015-12-31","Customer",22680
"B",13340,"Texas","2015-10-14","Ground Vehicle","Biotechnology","Private","Warm","2015-08-06","Reseller",19200
"G",2615,"New York","2015-04-12","Compliance","Technology","Private","Hot","2015-02-20","Competitor",30220
"F",50504,"Texas","2015-05-24","Standard Hardware","Shipping","Public","Warm","2015-03-10","Customer",20230
"A",1361,"New York","2015-04-03","Compliance","Consulting","Private","Cold","2015-02-10","Consulting",16220
"B",3652,"Texas","2015-02-27","Compliance","Consulting","Public","Warm","2014-12-08","Consulting",27220
"K",50310,"Texas","2015-12-08","Standard Hardware","Consulting","Private","Cold","2015-10-06","Consulting",18230
"B",9621,"California","2016-01-31","Ground Vehicle","Retail","Public","Hot","2015-11-05","Customer",25200
"F",2120,"Texas","2015-09-23","Compliance","Consulting","Public","Cold","2015-07-02","Consulting",29220
"D",43975,"Texas","2014-11-15","Standard Materials","Retail","Public","Cold","2014-10-10","Customer",20160
"A",41907,"Boston","2015-01-10","Standard Materials","Apparel","Public","Hot","2014-12-06","Customer",20160
"B",13519,"Texas","2014-11-23","Ground Vehicle","Apparel","Public","Hot","2014-09-04","Customer",19200
"H",11809,"Texas","2014-11-08","Ground Vehicle","Retail","Private","Hot","2014-08-19","Customer",19200
"B",19590,"California","2014-10-11","Miniaturized Parts","Hospitality","Public","Hot","2014-07-13","Customer",18890
"B",52616,"New York","2014-11-28","Raw Materials","Hospitality","Public","Hot","2014-09-27","Competitor",21120
"F",8681,"California","2014-04-21","Mapping","Manufacturing","Public","Hot","2014-02-02","Customer",21700
"G",7971,"New York","2015-07-10","Mapping","Banking","Private","Hot","2015-05-09","Competitor",26060
"A",43719,"Texas","2015-08-02","Standard Materials","Apparel","Public","Cold","2015-06-29","Customer",19160
"E",50339,"California","2014-10-12","Standard Hardware","Hospitality","Public","Warm","2014-08-19","Partner",11230
"F",2465,"Texas","2015-10-15","Compliance","Manufacturing","Private","Hot","2015-07-29","Customer",21640
"B",11503,"California","2015-02-24","Ground Vehicle","Shipping","Public","Cold","2014-12-23","Customer",19200
"F",3928,"Texas","2016-03-15","Compliance","Banking","Private","Cold","2015-12-22","Consulting",23640
"B",1461,"California","2014-11-07","Compliance","Hospitality","Private","Warm","2014-08-10","Consulting",21640
"K",24053,"Texas","2015-05-07","Frames","Hospitality","Private","Hot","2015-03-05","Customer",20330
"C",6675,"New York","2015-05-28","Mapping","Retail","Public","Hot","2015-04-10","Customer",21060
"B",17684,"Texas","2015-03-11","Ground Vehicle","Hospitality","Private","Warm","2014-12-29","Customer",19200
"B",7259,"New York","2014-05-26","Mapping","Retail","Public","Hot","2014-03-23","Customer",25200
"A",14984,"Boston","2015-04-20","Ground Vehicle","Hospitality","Private","Warm","2015-02-06","Customer",19200
"E",12103,"Texas","2015-08-30","Ground Vehicle","Hospitality","Private","Cold","2015-06-22","Customer",22200
"A",16394,"New York","2015-03-11","Ground Vehicle","Shipping","Private","Hot","2015-01-18","Competitor",22680
"C",40885,"Texas","2015-07-24","Standard Materials","Apparel","Public","Cold","2015-06-22","Customer",18160
"B",10164,"Texas","2015-04-28","Ground Vehicle","Hospitality","Public","Cold","2015-02-19","Customer",19200
"H",4060,"Texas","2014-10-08","Compliance","Manufacturing","Private","Hot","2014-08-18","Customer",21640
"B",52651,"Boston","2014-07-16","Raw Materials","Banking","Private","Hot","2014-05-09","Competitor",28120
"B",8529,"California","2014-06-16","Mapping","Hospitality","Private","Hot","2014-04-23","Competitor",16700
"D",50970,"Texas","2015-04-28","Standard Hardware","Retail","Public","Warm","2015-02-27","Consulting",13230
