Product,Region,Vertical,Close Date,Distributor,Discount Level,Margin
Planetary Gears,Latin America,Public Sector,1/1/15,Nisizu,Gold,1
Lift Supports,Latin America,Public Sector,7/1/15,Nokemi,Gold,1
Clutches,Middle East,Utilities,7/1/15,BDINC,Silver,13
Lift Supports,Africa,Insurance,10/1/15,BDINC,Gold,10
Alternators,Brazil,Public Sector,10/1/15,Nokemi,Gold,8
Ball Bearings,South East Asia,Chemicals,4/1/15,Nisizu,Silver,16
Ball Bearings,United Kingdom,Banking,7/1/15,Nisizu,Gold,21
Ball Bearings,Germany,Life Sciences,1/1/15,Nokemi,Silver,1
Clutches,Germany,Life Sciences,4/1/15,Nokemi,Gold,23
Brakes,Middle East,Consumer Products,7/1/15,Nokemi,Gold,10
Ball Bearings,Africa,Public Sector,1/1/15,BDINC,Gold,26
Ball Bearings,Africa,Public Sector,4/1/15,BDINC,Silver,5
Wheel Bearings,Africa,Public Sector,7/1/15,BDINC,Gold,1
Lift Supports,Africa,Public Sector,10/1/15,BDINC,Gold,14
Alternators,Africa,Public Sector,1/1/15,BDINC,Gold,28
Clutches,Africa,Public Sector,4/1/15,BDINC,Silver,7
Planetary Gears,Africa,Public Sector,7/1/15,BDINC,Silver,30
Wheel Bearings,Africa,Public Sector,10/1/15,Nokemi,Silver,8
Lift Supports,Africa,Public Sector,1/1/15,Nokemi,Gold,91
Alternators,Africa,Public Sector,4/1/15,Nokemi,Silver,1
Clutches,Africa,Public Sector,7/1/15,Nokemi,Silver,7
Planetary Gears,Africa,Public Sector,10/1/15,Nokemi,Silver,28
Wheel Bearings,Africa,Public Sector,10/1/15,BDINC,Gold,10
Lift Supports,Africa,Public Sector,1/1/15,BDINC,Gold,24
Alternators,Africa,Public Sector,4/1/15,BDINC,Silver,12
Clutches,Africa,Public Sector,7/1/15,BDINC,Gold,7
Planetary Gears,Africa,Public Sector,10/1/15,BDINC,Gold,0
Wheel Bearings,Japan,Media,1/1/15,Nokemi,Silver,2
Alternators,Germany,Manufacturing,10/1/15,Nisizu,Silver,9
Brake Pads,United Kingdom,Defense,1/1/15,Nisizu,Silver,17
Wheel Bearings,United Kingdom,Public Sector,4/1/15,Nokemi,Gold,96
Wheel Bearings,Middle East,Public Sector,7/1/15,Nokemi,Gold,15
Wiper Gears,Middle East,Public Sector,10/1/15,Nokemi,Silver,13
Lift Supports,Middle East,Public Sector,1/1/15,Nokemi,Silver,8
Clutches,Middle East,Public Sector,4/1/15,Nokemi,Silver,17
Planetary Gears,Middle East,Public Sector,7/1/15,Nokemi,Gold,20
Wheel Bearings,Middle East,Public Sector,1/1/15,BDINC,Gold,3
Clutches,Middle East,Public Sector,4/1/15,BDINC,Gold,7
Wheel Bearings,Middle East,Public Sector,7/1/15,BDINC,Gold,95
Ball Bearings,Middle East,Public Sector,10/1/15,BDINC,Silver,87
Clutches,Middle East,Public Sector,1/1/15,BDINC,Silver,102
Alternators,Middle East,Public Sector,10/1/15,Nokemi,Gold,14
Alternators,Middle East,Public Sector,1/1/15,Nokemi,Gold,2
Planetary Gears,South East Asia,Insurance,4/1/15,Nokemi,Silver,21
Planetary Gears,South East Asia,Insurance,4/1/15,Nisizu,Silver,10
Wiper Gears,South East Asia,Insurance,7/1/15,Nisizu,Silver,0
Wheel Bearings,South East Asia,Public Sector,7/1/15,Nokemi,Gold,107
Clutches,South East Asia,Public Sector,10/1/15,Nisizu,Gold,8
Wheel Bearings,United Kingdom,Media,10/1/15,Nokemi,Silver,125
Brakes,India,Defense,1/1/15,Nokemi,Gold,3
Ball Bearings,Germany,Manufacturing,1/1/15,Nisizu,Gold,96
Brakes,Germany,Manufacturing,4/1/15,Nokemi,Silver,10
Alternators,Germany,Manufacturing,7/1/15,Nokemi,Silver,8
Brakes,Germany,Manufacturing,10/1/15,Nokemi,Silver,9
Wheel Bearings,Middle East,Retail,1/1/15,Nokemi,Silver,113
Wheel Bearings,Western United States,Public Sector,4/1/15,Nokemi,Gold,1
Brakes,Latin America,Oil and Gas,7/1/15,Nokemi,Gold,14
Planetary Gears,Western United States,Life Sciences,4/1/15,Nisizu,Gold,11
Planetary Gears,Brazil,Heavy Engineering,7/1/15,Nisizu,Gold,17
Wheel Bearings,India,Public Sector,10/1/15,Nisizu,Silver,9
Wiper Gears,India,Public Sector,1/1/15,Nisizu,Gold,8
Ball Bearings,India,Consumer Products,10/1/15,Nokemi,Silver,11
Wheel Bearings,Japan,Manufacturing,1/1/15,Nokemi,Silver,0
Planetary Gears,Western United States,Heavy Engineering,4/1/15,Nokemi,Gold,68
Brake Pads,Western United States,Heavy Engineering,4/1/15,Nisizu,Gold,93
Wheel Bearings,India,Consumer Products,7/1/15,Nokemi,Gold,4
Alternators,India,Manufacturing,7/1/15,Nisizu,Gold,16
Planetary Gears,India,Chemicals,10/1/15,Nisizu,Gold,3
Rotor Screws,Germany,Media,7/1/15,DIMAGO,Gold,37
Lift Supports,India,Consumer Products,10/1/15,Nokemi,Gold,8
Wheel Bearings,Japan,Wholesale Distribution,1/1/15,Nokemi,Gold,2
Ball Bearings,Japan,Wholesale Distribution,1/1/15,Nisizu,Silver,13
Brakes,Japan,Retail,4/1/15,Nokemi,Silver,22
Alternators,India,High Tech,4/1/15,Nisizu,Silver,6
Wheel Bearings,Africa,Banking,7/1/15,Nokemi,Gold,8
Brakes,France,Industrial Machinery and Components,10/1/15,DIMAGO,Gold,106
Wheel Bearings,United Kingdom,Manufacturing,1/1/15,BERLIN & DRIVE,Gold,106
Planetary Gears,Latin America,Public Sector,7/1/15,Nisizu,Gold,13
Wheel Bearings,Western United States,Consumer Products,10/1/15,Nokemi,Gold,5
Wiper Gears,Western United States,Consumer Products,1/1/15,Nokemi,Gold,9
Lift Supports,Western United States,Consumer Products,4/1/15,Nokemi,Gold,20
Ball Bearings,Western United States,Consumer Products,7/1/15,Nokemi,Gold,104
Lift Supports,Western United States,Consumer Products,10/1/15,Nisizu,Gold,11
Clutches,Western United States,Consumer Products,1/1/15,Nisizu,Gold,19
Planetary Gears,Western United States,Consumer Products,4/1/15,Nisizu,Gold,7
Ball Bearings,Western United States,Consumer Products,10/1/15,Nokemi,Gold,2
Lift Supports,Western United States,Consumer Products,1/1/15,Nokemi,Gold,11
Wheel Bearings,Brazil,Consumer Products,4/1/15,Nokemi,Gold,119
Wheel Bearings,Western United States,Consumer Products,7/1/15,Nokemi,Gold,102
Wiper Gears,Brazil,Consumer Products,10/1/15,Nokemi,Gold,123
Wiper Gears,Western United States,Consumer Products,1/1/15,Nokemi,Gold,80
Lift Supports,Brazil,Consumer Products,4/1/15,Nokemi,Gold,104
Lift Supports,Western United States,Consumer Products,7/1/15,Nokemi,Silver,99
Ball Bearings,Brazil,Consumer Products,10/1/15,Nokemi,Gold,115
Ball Bearings,Western United States,Consumer Products,1/1/15,Nokemi,Gold,83
Clutches,Africa,Healthcare,4/1/15,BDINC,Gold,4
Wheel Bearings,India,Defense,4/1/15,Nokemi,Gold,8
Ball Bearings,India,Defense,7/1/15,Nokemi,Gold,94
Clutches,India,Defense,10/1/15,Nokemi,Silver,16
Lift Supports,United Kingdom,Chemicals,1/1/15,Nokemi,Silver,20
Brakes,South East Asia,Industrial Machinery and Components,4/1/15,Nokemi,Gold,6
Ball Bearings,Japan,Manufacturing,7/1/15,Nokemi,Silver,18
Wiper Gears,France,Retail,10/1/15,Nokemi,Gold,19
Alternators,France,Retail,7/1/15,BDINC,Gold,13
Wheel Bearings,France,Automotive,1/1/15,Nokemi,Gold,9
Planetary Gears,Latin America,Healthcare,7/1/15,Nisizu,Gold,107
Brake Pads,South East Asia,Trucking,10/1/15,BDINC,Silver,15
Brake Pads,South East Asia,Trucking,10/1/15,Nisizu,Silver,15
Lift Supports,South East Asia,Trucking,4/1/15,Nokemi,Silver,12
Ball Bearings,South East Asia,Trucking,1/1/15,Nisizu,Silver,131
Brake Pads,South East Asia,Trucking,1/1/15,BDINC,Silver,6
Ball Bearings,South East Asia,Trucking,4/1/15,BDINC,Silver,10
Ball Bearings,South East Asia,Trucking,4/1/15,Nisizu,Gold,19
Ball Bearings,South East Asia,Trucking,7/1/15,Nisizu,Silver,97
Lift Supports,United Kingdom,Manufacturing,7/1/15,Nokemi,Silver,24
Lift Supports,United Kingdom,Manufacturing,10/1/15,Nokemi,Silver,3
Ball Bearings,Western United States,Utilities,10/1/15,Nisizu,Gold,1
Hybrid Motors,Western United States,Utilities,1/1/15,Nokemi,Gold,5
Brake Pads,Western United States,Utilities,1/1/15,Nisizu,Gold,15
Ball Bearings,Western United States,Utilities,4/1/15,Nisizu,Gold,22
Ball Bearings,Western United States,Utilities,7/1/15,Nisizu,Silver,11
Lift Supports,Western United States,Utilities,4/1/15,Nokemi,Gold,6
Brake Pads,Western United States,Utilities,10/1/15,Nisizu,Silver,5
Lift Supports,Western United States,Utilities,1/1/15,Nisizu,Gold,6
Brakes,India,Consumer Products,7/1/15,Nokemi,Gold,16
Wheel Bearings,South East Asia,Consumer Products,10/1/15,Nokemi,Gold,21
Ball Bearings,South East Asia,Consumer Products,1/1/15,Nokemi,Gold,37
Brakes,Latin America,Banking,4/1/15,Nokemi,Silver,15
Brakes,Latin America,Banking,7/1/15,Nokemi,Silver,66
Rotor Screws,Latin America,Banking,10/1/15,Nokemi,Silver,99
Clutches,Latin America,Banking,7/1/15,BDINC,Gold,17
Wheel Bearings,Latin America,Banking,7/1/15,APPLIC IND,Gold,84
Brakes,Brazil,Defense,1/1/15,Nokemi,Gold,107
Ball Bearings,Japan,Industrial Machinery and Components,4/1/15,Nokemi,Silver,9
Wheel Bearings,Western United States,Insurance,7/1/15,Nokemi,Gold,8
Ball Bearings,France,Media,4/1/15,Nisizu,Gold,7
Brakes,France,Manufacturing,10/1/15,Nokemi,Silver,22
Wheel Bearings,United Kingdom,High Tech,1/1/15,Nokemi,Silver,7
Wheel Bearings,United Kingdom,High Tech,4/1/15,Nokemi,Gold,122
Wheel Bearings,United Kingdom,High Tech,7/1/15,Nokemi,Gold,14
Wheel Bearings,United Kingdom,High Tech,10/1/15,Nokemi,Silver,13
Wheel Bearings,United Kingdom,High Tech,1/1/15,Nokemi,Gold,12
Wheel Bearings,United Kingdom,High Tech,4/1/15,Nokemi,Gold,15
Wheel Bearings,United Kingdom,High Tech,7/1/15,Nokemi,Gold,25
Wheel Bearings,United Kingdom,High Tech,10/1/15,Nokemi,Gold,103
Wheel Bearings,United Kingdom,High Tech,1/1/15,Nokemi,Gold,4
Wheel Bearings,United Kingdom,High Tech,4/1/15,Nokemi,Gold,13
Alternators,India,Retail,7/1/15,Nisizu,Silver,14
Wheel Bearings,India,Retail,10/1/15,BDINC,Silver,19
Clutches,India,Retail,1/1/15,BDINC,Gold,15
Wheel Bearings,India,Retail,10/1/15,Nisizu,Silver,122
Clutches,India,Retail,1/1/15,Nisizu,Silver,100
Wheel Bearings,South East Asia,Heavy Engineering,7/1/15,Nokemi,Gold,19
Alternators,Japan,Banking,4/1/15,Nisizu,Silver,8
Rotor Screws,United Kingdom,Trucking,10/1/15,Nokemi,Gold,24
Rotor Screws,United Kingdom,Trucking,1/1/15,Nokemi,Gold,20
Wheel Bearings,Brazil,Defense,4/1/15,Nokemi,Gold,1
Wheel Bearings,Brazil,Manufacturing,7/1/15,Nokemi,Gold,1
Planetary Gears,Brazil,Manufacturing,7/1/15,Nisizu,Gold,0
Brakes,Brazil,Industrial Machinery and Components,10/1/15,Nokemi,Gold,26
Brake Pads,Brazil,Manufacturing,1/1/15,Nokemi,Gold,16
Ball Bearings,Brazil,Manufacturing,10/1/15,Nisizu,Gold,5
Clutches,Brazil,Manufacturing,1/1/15,Nisizu,Gold,104
Hybrid Motors,Brazil,Manufacturing,1/1/15,DIMAGO,Silver,93
Hybrid Motors,Brazil,Manufacturing,4/1/15,Nokemi,Gold,95
Hybrid Motors,Brazil,Consumer Products,7/1/15,Nokemi,Silver,17
Wheel Bearings,Brazil,High Tech,4/1/15,BERLIN & DRIVE,Silver,67
Ball Bearings,Brazil,High Tech,7/1/15,BERLIN & DRIVE,Gold,118
Clutches,Brazil,High Tech,10/1/15,BERLIN & DRIVE,Gold,79
Planetary Gears,Brazil,High Tech,1/1/15,BERLIN & DRIVE,Gold,80
Ball Bearings,Brazil,High Tech,4/1/15,BDINC,Gold,9
Clutches,Brazil,High Tech,7/1/15,BDINC,Silver,2
Planetary Gears,Brazil,High Tech,10/1/15,BDINC,Gold,10
Wheel Bearings,Brazil,High Tech,1/1/15,BDINC,Silver,17
Ball Bearings,Brazil,High Tech,4/1/15,BDINC,Gold,26
Clutches,Brazil,High Tech,7/1/15,BDINC,Silver,25
Planetary Gears,Brazil,High Tech,10/1/15,BDINC,Gold,4
Clutches,Brazil,High Tech,1/1/15,BDINC,Gold,7
Brake Pads,Brazil,Heavy Engineering,4/1/15,Nisizu,Gold,16
Brake Pads,Brazil,Heavy Engineering,7/1/15,Nisizu,Gold,8
Brake Pads,Brazil,Heavy Engineering,10/1/15,Nisizu,Gold,123
Brake Pads,Brazil,Heavy Engineering,1/1/15,Nisizu,Gold,16
Brake Pads,Brazil,Banking,4/1/15,BDINC,Gold,10
Lift Supports,Brazil,Banking,7/1/15,BDINC,Gold,21
Ball Bearings,Brazil,Banking,10/1/15,BDINC,Silver,19
Clutches,Brazil,Banking,1/1/15,BDINC,Gold,4
Planetary Gears,Brazil,Banking,4/1/15,BDINC,Gold,10
Lift Supports,Brazil,Banking,4/1/15,Nisizu,Gold,1
Ball Bearings,Brazil,Banking,7/1/15,Nisizu,Silver,3
Planetary Gears,Brazil,Banking,10/1/15,Nisizu,Gold,6
Brake Pads,Brazil,Banking,7/1/15,BDINC,Silver,100
Lift Supports,Brazil,Banking,10/1/15,BDINC,Silver,95
Ball Bearings,Brazil,Banking,1/1/15,BDINC,Silver,107
Clutches,Brazil,Banking,4/1/15,BDINC,Gold,106
Planetary Gears,Brazil,Banking,7/1/15,BDINC,Gold,118
Wheel Bearings,Western United States,Utilities,10/1/15,Nokemi,Gold,115
Wheel Bearings,Germany,Utilities,1/1/15,Nokemi,Gold,135
Clutches,Germany,Utilities,4/1/15,Nokemi,Gold,88
Ball Bearings,United Kingdom,Banking,1/1/15,Nisizu,Gold,13
Ball Bearings,Middle East,Retail,4/1/15,BERLIN & DRIVE,Gold,7
Brake Pads,Middle East,Retail,4/1/15,Nisizu,Gold,6
Planetary Gears,Middle East,Retail,7/1/15,Nisizu,Gold,23
Clutches,Middle East,Retail,10/1/15,Nisizu,Gold,101
Planetary Gears,Middle East,Retail,1/1/15,Nisizu,Silver,104
Wheel Bearings,United Kingdom,Manufacturing,4/1/15,Nisizu,Silver,111
Ball Bearings,United Kingdom,Manufacturing,7/1/15,Nisizu,Gold,94
Clutches,Middle East,Oil and Gas,7/1/15,Nokemi,Gold,18
Wheel Bearings,Latin America,Manufacturing,10/1/15,Nisizu,Silver,27
Alternators,Latin America,Manufacturing,1/1/15,Nisizu,Gold,4
Rotor Screws,South East Asia,Heavy Engineering,4/1/15,Nisizu,Gold,104
Wheel Bearings,United Kingdom,Defense,10/1/15,Nokemi,Gold,14
Ball Bearings,South East Asia,Consumer Products,1/1/15,Nokemi,Gold,3
Wheel Bearings,Middle East,Defense,10/1/15,BDINC,Gold,17
Hybrid Motors,Middle East,Defense,1/1/15,BDINC,Gold,8
Wheel Bearings,Latin America,Utilities,4/1/15,Nokemi,Gold,13
Wheel Bearings,Middle East,Heavy Engineering,4/1/15,BDINC,Gold,86
Hybrid Motors,Middle East,Heavy Engineering,7/1/15,BDINC,Silver,108
Ball Bearings,Middle East,Heavy Engineering,10/1/15,BDINC,Gold,107
Clutches,Middle East,Heavy Engineering,1/1/15,BDINC,Silver,125
Ball Bearings,Middle East,Defense,4/1/15,BDINC,Gold,92
Clutches,Middle East,Defense,7/1/15,BDINC,Gold,104
Wiper Gears,Middle East,Automotive,7/1/15,Nisizu,Gold,5
Ball Bearings,Middle East,Utilities,7/1/15,Nokemi,Gold,3
Lift Supports,Germany,Defense,10/1/15,Nokemi,Gold,14
Lift Supports,Germany,Defense,1/1/15,Nokemi,Gold,9
Ball Bearings,Germany,Defense,10/1/15,Nisizu,Gold,18
Hybrid Motors,Germany,Defense,4/1/15,Nokemi,Gold,74
Wheel Bearings,Germany,Defense,7/1/15,Nokemi,Silver,123
Lift Supports,Germany,Defense,10/1/15,Nokemi,Gold,90
Wheel Bearings,Brazil,Consumer Products,1/1/15,Nokemi,Gold,1
Wheel Bearings,Western United States,Banking,4/1/15,Nokemi,Silver,4
Wheel Bearings,South East Asia,Healthcare,7/1/15,Nokemi,Gold,11
Belt drives,South East Asia,Healthcare,10/1/15,Nokemi,Silver,16
Ball Bearings,South East Asia,Healthcare,1/1/15,Nokemi,Silver,9
Belt drives,South East Asia,Public Sector,4/1/15,Nokemi,Silver,13
Rotor Screws,United Kingdom,Banking,7/1/15,Nokemi,Gold,4
Rotor Screws,United Kingdom,Manufacturing,10/1/15,BDINC,Silver,7
Ball Bearings,United Kingdom,Manufacturing,1/1/15,BDINC,Silver,18
Rotor Screws,India,Chemicals,1/1/15,Nisizu,Gold,2
Alternators,Latin America,Public Sector,4/1/15,Nisizu,Gold,88
Rotor Screws,Latin America,Public Sector,7/1/15,Nisizu,Gold,0
Wiper Gears,Latin America,Public Sector,10/1/15,Nisizu,Gold,15
Planetary Gears,Middle East,Wholesale Distribution,10/1/15,Nokemi,Silver,17
Ball Bearings,Middle East,Wholesale Distribution,4/1/15,BDINC,Gold,3
Clutches,Middle East,Wholesale Distribution,7/1/15,BDINC,Gold,1
Wheel Bearings,Middle East,Wholesale Distribution,1/1/15,Nokemi,Gold,112
Ball Bearings,Middle East,Wholesale Distribution,4/1/15,Nokemi,Silver,10
Wheel Bearings,Middle East,Manufacturing,7/1/15,Nokemi,Gold,4
Ball Bearings,Middle East,Manufacturing,10/1/15,Nokemi,Gold,12
Clutches,Middle East,Manufacturing,1/1/15,Nokemi,Gold,12
Wheel Bearings,Middle East,Banking,4/1/15,Nokemi,Gold,24
Wheel Bearings,Middle East,Automotive,7/1/15,Nokemi,Gold,8
Brakes,Middle East,Manufacturing,7/1/15,BERLIN & DRIVE,Gold,4
Wheel Bearings,Middle East,Heavy Engineering,10/1/15,BDINC,Silver,4
Wheel Bearings,Middle East,Heavy Engineering,1/1/15,BDINC,Gold,17
Ball Bearings,Middle East,Heavy Engineering,10/1/15,Nokemi,Gold,8
Clutches,Middle East,Heavy Engineering,1/1/15,Nokemi,Gold,15
Brakes,Middle East,Wholesale Distribution,1/1/15,Nisizu,Silver,22
Hybrid Motors,Middle East,Wholesale Distribution,4/1/15,Nisizu,Gold,6
Ball Bearings,Middle East,Wholesale Distribution,7/1/15,Nisizu,Gold,0
Lift Supports,Middle East,Retail,4/1/15,Nokemi,Gold,13
Rotor Screws,Middle East,Chemicals,10/1/15,Nisizu,Gold,97
Rotor Screws,Middle East,Chemicals,1/1/15,Nisizu,Gold,86
Ball Bearings,Middle East,Wholesale Distribution,4/1/15,Nisizu,Gold,10
Wheel Bearings,Middle East,Wholesale Distribution,7/1/15,Nisizu,Gold,28
Ball Bearings,Middle East,Wholesale Distribution,10/1/15,Nisizu,Gold,19
Wheel Bearings,Middle East,Automotive,7/1/15,Nokemi,Gold,2
Ball Bearings,Middle East,Wholesale Distribution,1/1/15,Nisizu,Gold,0
Ball Bearings,Middle East,Retail,10/1/15,BERLIN & DRIVE,Gold,117
Wheel Bearings,Middle East,Healthcare,10/1/15,Nokemi,Gold,11
Rotor Screws,Middle East,Healthcare,1/1/15,Nokemi,Gold,7
Wheel Bearings,Middle East,Automotive,4/1/15,Nokemi,Gold,9
Ball Bearings,Middle East,Consumer Products,7/1/15,Nokemi,Gold,22
Ball Bearings,Middle East,Consumer Products,10/1/15,Nokemi,Silver,8
Ball Bearings,Middle East,Consumer Products,1/1/15,Nokemi,Gold,0
Ball Bearings,Middle East,Consumer Products,4/1/15,BDINC,Silver,107
Wheel Bearings,Middle East,Consumer Products,7/1/15,BDINC,Gold,86
Ball Bearings,Middle East,Consumer Products,10/1/15,BDINC,Silver,92
Clutches,Middle East,Consumer Products,1/1/15,BDINC,Gold,91
Rotor Screws,Middle East,Consumer Products,4/1/15,Nisizu,Gold,4
Hybrid Motors,Middle East,Consumer Products,4/1/15,Nokemi,Gold,10
Rotor Screws,Middle East,Wholesale Distribution,4/1/15,BDINC,Gold,11
Clutches,Middle East,Wholesale Distribution,7/1/15,BDINC,Gold,4
Wheel Bearings,Middle East,Wholesale Distribution,7/1/15,Nokemi,Gold,97
Brakes,Middle East,Media,10/1/15,BDINC,Silver,69
Ball Bearings,Middle East,Media,1/1/15,BDINC,Gold,132
Clutches,Middle East,Media,4/1/15,BDINC,Gold,112
Rotor Screws,Middle East,Banking,7/1/15,BDINC,Silver,113
Wiper Gears,Middle East,Banking,10/1/15,BDINC,Silver,87
Ball Bearings,Middle East,Heavy Engineering,7/1/15,Nisizu,Silver,10
Clutches,Middle East,Consumer Products,10/1/15,Nisizu,Gold,108
Wheel Bearings,Middle East,Manufacturing,10/1/15,Nokemi,Gold,10
Wheel Bearings,Middle East,Consumer Products,1/1/15,Nokemi,Gold,6
Wheel Bearings,Middle East,Automotive,1/1/15,BDINC,Gold,20
Hybrid Motors,Middle East,Automotive,4/1/15,BDINC,Silver,16
Ball Bearings,Middle East,Automotive,7/1/15,BDINC,Gold,21
Clutches,Middle East,Automotive,10/1/15,BDINC,Gold,18
Ball Bearings,Middle East,Oil and Gas,1/1/15,Nisizu,Gold,90
Clutches,Middle East,Oil and Gas,4/1/15,Nisizu,Gold,106
Belt drives,Middle East,Oil and Gas,1/1/15,BDINC,Gold,17
Rotor Screws,Middle East,Heavy Engineering,4/1/15,BDINC,Gold,7
Wheel Bearings,Middle East,Banking,4/1/15,DIMAGO,Silver,19
Wiper Gears,Middle East,Consumer Products,7/1/15,Nisizu,Gold,101
Clutches,Middle East,Banking,10/1/15,Nisizu,Gold,1
Rotor Screws,Middle East,Banking,4/1/15,Nokemi,Gold,95
Wiper Gears,Middle East,Banking,7/1/15,Nokemi,Gold,70
Wheel Bearings,Middle East,Healthcare,10/1/15,Nokemi,Silver,4
Brakes,Middle East,Media,1/1/15,BERLIN & DRIVE,Silver,10
Ball Bearings,Middle East,Media,4/1/15,BERLIN & DRIVE,Gold,14
Clutches,Middle East,Media,7/1/15,BERLIN & DRIVE,Gold,15
Brakes,Middle East,Media,10/1/15,BERLIN & DRIVE,Gold,100
Ball Bearings,Middle East,Media,1/1/15,BERLIN & DRIVE,Silver,81
Clutches,Middle East,Media,4/1/15,BERLIN & DRIVE,Gold,101
Belt drives,Latin America,Defense,1/1/15,Nisizu,Gold,96
Ball Bearings,Latin America,Defense,4/1/15,Nisizu,Gold,2
Planetary Gears,Latin America,Defense,7/1/15,Nisizu,Gold,107
Lift Supports,South East Asia,Wholesale Distribution,1/1/15,Nokemi,Gold,0
Ball Bearings,South East Asia,Wholesale Distribution,4/1/15,Nokemi,Gold,5
Brake Pads,South East Asia,Wholesale Distribution,7/1/15,Nokemi,Silver,0
Brake Pads,South East Asia,Wholesale Distribution,10/1/15,Nisizu,Gold,12
Wheel Bearings,South East Asia,Wholesale Distribution,7/1/15,BDINC,Silver,2
Ball Bearings,South East Asia,Wholesale Distribution,10/1/15,BDINC,Silver,16
Clutches,South East Asia,Wholesale Distribution,1/1/15,BDINC,Silver,11
Planetary Gears,South East Asia,Wholesale Distribution,4/1/15,BDINC,Silver,10
Clutches,South East Asia,Wholesale Distribution,10/1/15,Nokemi,Silver,39
Lift Supports,South East Asia,Wholesale Distribution,1/1/15,Nokemi,Gold,9
Ball Bearings,South East Asia,Wholesale Distribution,4/1/15,Nokemi,Gold,1
Clutches,Brazil,High Tech,7/1/15,Nokemi,Silver,6
Rotor Screws,Brazil,Manufacturing,1/1/15,Nisizu,Gold,5
Wheel Bearings,Western United States,Wholesale Distribution,10/1/15,Nokemi,Gold,8
