,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
443,073fb427-f92a-4c5f-b421-bf7ffbd767d8,655578,Landing Page Submission,Direct Traffic,No,No,1,2.0,107,2.0,Email Opened,India,E-Business,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,No,No,Email Opened
459,d7097804-22b1-4869-97f1-49eff52c2888,655423,Landing Page Submission,Google,No,No,1,4.0,746,4.0,Email Opened,India,Human Resource Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Lateral Student,Mumbai,No,No,Email Opened
548,67c9ecd9-0429-4b90-8d42-53d27e217ac7,654576,API,Google,No,No,1,3.0,1712,3.0,Form Submitted on Website,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Modified
563,2cc428d1-6991-4609-818e-257c3c6fefb5,654453,Landing Page Submission,Google,No,No,1,1.0,598,1.0,Converted to Lead,India,Operations Management,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Thane & Outskirts,No,No,Modified
572,80d51025-850f-4de1-a382-c3a70b3b406c,654326,API,Olark Chat,No,No,1,7.0,628,3.5,Email Opened,India,"Banking, Investment And Insurance",Online Search,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
611,4daf1783-7f4f-4dbf-8b3f-c7a8d9910cbf,654115,API,Google,No,No,1,3.0,7,3.0,Email Link Clicked,India,Marketing Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
617,b5d3c71c-5375-4e28-bd55-028f5cba7cb3,654051,Landing Page Submission,Google,No,No,1,3.0,94,1.5,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
644,1ec33db0-c10a-4642-a086-80df07d1476c,653879,Landing Page Submission,Google,No,No,1,7.0,472,1.75,Form Submitted on Website,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,Yes,Modified
679,6ca84b0d-a8a8-47b2-8089-4e7f86673b8a,653552,Landing Page Submission,Google,No,No,1,5.0,1328,2.5,Page Visited on Website,India,Retail Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Page Visited on Website
713,cd16da52-333d-43b7-9fa6-97464be6a29f,653082,API,Google,No,No,1,5.0,818,2.5,Page Visited on Website,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
761,c43139b7-1bf2-4f04-a089-9298abd59621,652569,Landing Page Submission,Google,No,No,0,10.0,59,3.33,Email Opened,India,Finance Management,Word Of Mouth,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
881,dbcde5e4-cc6b-4057-9b38-1da8da311e99,651094,Landing Page Submission,Google,No,No,0,4.0,938,4.0,Converted to Lead,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
887,49ba50c5-0f66-4c9f-bcf8-ab64a79dd9ba,651020,Landing Page Submission,Google,No,No,1,6.0,168,2.0,Email Opened,India,Finance Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
892,4377b169-87ec-484c-abf8-c06b3ec21e65,650918,Landing Page Submission,Google,No,No,1,6.0,1966,6.0,Email Opened,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Other Cities of Maharashtra,No,No,Email Opened
898,3fe5e40b-545d-42ae-bb84-181bc4d45ebe,650862,Landing Page Submission,Google,No,No,0,2.0,164,2.0,Converted to Lead,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
919,096fbe99-99be-48a1-90b2-f7ff9f9755f2,650568,Landing Page Submission,Google,No,No,0,7.0,60,3.5,Page Visited on Website,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),High in Relevance,No,No,Potential Lead,Mumbai,No,No,Page Visited on Website
935,6d398ad4-8a00-46e1-b244-f58eed706525,650362,Landing Page Submission,Google,No,No,1,3.0,911,3.0,Email Opened,India,IT Projects Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
942,9a02fe20-be3d-4a67-a7a5-e8ce6ae0393c,650305,Landing Page Submission,Organic Search,No,No,1,7.0,1471,3.5,Email Opened,India,Travel and Tourism,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,Yes,Email Opened
944,ce3d4eb1-667e-420f-b4b3-70eddc93efab,650278,Landing Page Submission,Google,No,No,1,4.0,610,4.0,Email Opened,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
1030,baaa0f5a-e5f7-407c-b8a7-1ac69aa384a9,649212,Landing Page Submission,Google,No,No,1,7.0,1665,3.5,SMS Sent,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,Yes,Modified
1050,7ef6843d-ae2e-416e-878b-95d4cae0c25d,649003,Landing Page Submission,Google,No,No,1,2.0,1089,2.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
1075,7d7e76fe-e2b7-4084-867e-ac99287f5fa6,648605,Landing Page Submission,Google,No,No,1,4.0,776,4.0,Email Opened,India,Marketing Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
1080,d7f88f61-238a-4c48-82aa-7ab92f7bcdd8,648518,Landing Page Submission,Google,No,No,0,2.0,153,2.0,Converted to Lead,India,Business Administration,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,Other Cities,No,No,Modified
1090,8b6918d7-20da-49f3-bd4e-91b67fb09a4a,648361,Landing Page Submission,Referral Sites,No,No,1,4.0,1653,2.0,Page Visited on Website,India,Business Administration,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Page Visited on Website
1093,9470a0d0-582c-4ab0-91c2-740524a3dc1a,648322,Landing Page Submission,Google,No,No,0,5.0,1362,5.0,Email Opened,India,International Business,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
1106,364ce559-e55f-4c6b-8782-146ba1c8d21f,648191,Landing Page Submission,Google,No,No,1,2.0,588,2.0,Email Opened,India,E-Business,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
1116,9f9fed8b-b08b-4fcb-9530-73e59f948eb1,648081,Landing Page Submission,Google,No,No,1,6.0,1712,6.0,Unreachable,India,IT Projects Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,No,No,Unreachable
1160,424e4ffd-efc9-4dc8-8cd2-5cf3b3e56223,647818,Landing Page Submission,Direct Traffic,No,No,0,43.0,57,3.91,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Not Sure,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
1254,7a37f0c1-a37e-49e8-9a5c-0d0c69eb8e3d,646574,Landing Page Submission,Google,No,No,1,6.0,1040,6.0,Email Opened,India,Operations Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,No,No,Email Opened
1313,293a719a-0e17-42dc-b3a9-05e4a3a615df,646076,Landing Page Submission,Direct Traffic,No,No,1,6.0,1121,2.0,Email Opened,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,No,Yes,Email Opened
1324,86f9297f-3cbb-4ace-ad5b-6193fbb4ec58,645927,API,Google,No,No,1,4.0,1874,4.0,SMS Sent,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
1326,5de3065a-7d85-432e-bb88-a81ea7af51f5,645889,Landing Page Submission,Direct Traffic,No,No,1,5.0,788,5.0,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Metro Cities,No,No,Email Opened
1340,30ba64e9-d091-4fd8-812f-f0d37608d900,645785,Landing Page Submission,Google,No,No,1,2.0,189,2.0,Email Opened,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
1350,ce7249c7-593c-48ca-89d6-99229c92ed27,645703,Landing Page Submission,Referral Sites,No,No,1,6.0,1689,6.0,Email Opened,India,Supply Chain Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,No,Yes,Email Opened
1373,c21030cd-f1b1-4ffd-b405-f31e86d1d904,645515,Landing Page Submission,Google,No,No,0,3.0,315,3.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Other Metro Cities,No,No,Email Opened
1419,a9843c4d-558d-4fd6-9be6-7606ec893f36,645218,Landing Page Submission,Google,No,No,1,7.0,938,7.0,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,opp hangup,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
1433,9b7806f0-5656-40c6-a51b-77e8eb459539,645128,Landing Page Submission,Direct Traffic,No,No,1,4.0,664,2.0,Email Opened,India,Business Administration,Student of SomeSchool,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Might be,No,No,Other Leads,Mumbai,No,Yes,Email Opened
1436,5990ca58-7548-4292-86e1-6334bd58d565,645099,Landing Page Submission,Google,No,No,1,4.0,1688,4.0,Email Opened,India,Operations Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
1444,f60428c6-c566-4f2f-8a19-746c76c9260c,645009,Landing Page Submission,Google,No,No,1,3.0,1683,3.0,Email Opened,India,Business Administration,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
1450,a0159f3e-3725-4d08-8607-42a7fce77271,644953,API,Google,No,No,1,5.0,1323,2.5,SMS Sent,India,Human Resource Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,No,No,SMS Sent
1454,2c2de880-420f-4ff8-a0e5-b1ae22006258,644906,Landing Page Submission,Google,No,No,1,6.0,1975,6.0,Email Link Clicked,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Link Clicked
1456,f66fc21b-621d-4dad-a984-dcd0d480da76,644900,Landing Page Submission,Google,No,No,1,6.0,1681,6.0,Email Opened,India,International Business,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Email Opened
1493,af5e7b2c-d40b-4952-b5db-8c512aa36642,644466,API,Google,No,No,0,5.0,353,5.0,Email Opened,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,invalid number,Not Sure,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
1509,e80e9214-2648-412d-876a-db4b670e7e62,644257,Landing Page Submission,Google,No,No,1,3.0,784,3.0,Converted to Lead,India,Business Administration,Other,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Modified
1518,cd6943e3-a99c-4fa4-96a6-95c054f569eb,644197,Landing Page Submission,Google,No,No,1,4.0,688,2.0,Email Opened,India,Finance Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
1520,0dbcf937-2e15-4ecb-a796-a5a8e824fd1f,644182,Landing Page Submission,Google,No,No,0,12.0,348,3.0,Converted to Lead,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Mumbai,No,No,Modified
1527,af334ec6-bfff-4de7-b59d-d8c2fae37795,644137,Landing Page Submission,Google,No,No,1,4.0,847,4.0,Email Opened,India,Human Resource Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
1535,4feef19d-6a2f-4499-a081-c5762145de04,644087,Landing Page Submission,Google,Yes,No,1,5.0,777,5.0,Page Visited on Website,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Page Visited on Website
1556,8375adf8-f8fb-4985-9692-5c3d37419b70,643951,Landing Page Submission,Organic Search,No,No,0,6.0,5,3.0,Email Opened,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Potential Lead,Other Cities,No,No,Email Opened
1566,d2028e62-0189-4e3e-8653-a4822d98eb56,643916,Landing Page Submission,Google,No,No,1,14.0,1241,3.5,Email Opened,India,Operations Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Email Opened
1589,4f0eee1c-2b48-43b1-b1da-4a259d5d5cf9,643787,Landing Page Submission,Direct Traffic,No,No,1,2.0,850,2.0,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Other Cities,No,No,Email Opened
1626,f6ff4abf-8861-4800-8dfe-811f5cd7a49a,643320,Landing Page Submission,Google,No,No,0,6.0,71,6.0,Email Opened,India,Finance Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Other Cities,No,No,Email Opened
1631,ff1f908b-8168-4f19-8a0e-4ec50a31b719,643289,Landing Page Submission,Google,No,No,1,5.0,1013,5.0,Email Opened,India,Finance Management,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
1676,59e989b8-8d43-48be-90cd-1d779e7fe2be,643051,Landing Page Submission,Google,No,No,1,10.0,1131,5.0,Email Opened,India,Human Resource Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
1698,6c051f55-859a-4cb5-983f-0038b0f644ea,642881,Landing Page Submission,Google,No,No,1,5.0,1024,5.0,Email Opened,India,Finance Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
1704,548ac2f7-3664-48d9-8fd6-eeb0938c3585,642834,API,Google,No,No,1,4.0,262,4.0,SMS Sent,France,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Other Metro Cities,No,No,Modified
1730,1fc1f191-807c-4f3a-995b-d09e82f22891,642522,Landing Page Submission,Google,No,No,1,1.0,1716,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
1731,121a8c8e-3b13-4cb1-9545-11531bda8a9c,642510,Landing Page Submission,Organic Search,No,No,1,3.0,534,1.5,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
1749,7521b235-506d-4b28-b5a8-a4fd5fc49b08,642356,Landing Page Submission,Google,No,No,0,2.0,1188,1.0,Email Bounced,India,Finance Management,Student of SomeSchool,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Mumbai,No,No,Modified
1766,85b71b01-6d01-4714-bbc8-b7cd43c206b7,642204,Landing Page Submission,Google,No,No,1,5.0,1211,2.5,Email Opened,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
1787,9958f720-0d02-4e53-acd3-c9feb1b95c0f,642061,Landing Page Submission,Google,Yes,No,0,4.0,32,4.0,Email Bounced,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Thane & Outskirts,No,No,Modified
1788,eef7a072-f60c-4ba2-b892-dfddd2a5e646,642056,Landing Page Submission,Google,No,No,1,11.0,1714,5.5,Email Opened,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
