text,label
"07.03.2018 முதல் 03.07.2018 வரை தன் சுய சாரமான விசாகம் நட்சத்திரம் துலாம் ராசியில் குரு பகவான் வக்ர கதியில் செல்வதால் பிரபலங்களுக்கு நெருக்கமாவீர்கள். சிலர் நல்ல காற்றோட்டம், குடிநீர் வசதியுள்ள வீட்டுக்கு மாறுவீர்கள். உங்களைச் சுற்றியிருப்பவர்களில் நல்லவர்கள் யார் என்பதைக் கண்டறிவீர்கள்.",spirituality
பறவைகளைக் கூண்டில் அடைத்த மனிதன் திரும்பி வந்தான்.,spirituality
'2.0' வெளியீட்டு தேதி மாற்றத்தால் தெலுங்கு திரையுலகில் பெரும் சர்ச்சை உருவாகியுள்ளது. மகேஷ்பாபு நடிப்பில் உருவாகி வரும் 'Bharat Ane Nenu' மற்றும் அல்லு அர்ஜுன் நடிப்பில் 'Naa Peru Surya' ஆகிய படங்கள் வெளியாகவுள்ளது. இவ்விரண்டு படங்களின் தயாரிப்பாளர்களுமே கடும் அதிருப்தி தெரிவித்திருக்கிறார்கள்.,tamil-cinema
"பொருளாதார வளர்ச்சியை ஊக்குவிப்பதற்காக நிதிப்பற்றாக்குறைக்கு நிர்ணயம் செய்த இலக்கை தளர்த்தலாமா என செய்தியாளர்கள் கேட்டதற்கு, தனிப்பட்ட முறையில் வேண்டாம் என்பதே என் கருத்து என்று கூறினார்.",business
"இதன் அறிமுக விழாவோடு, ஃபர்ஸ்ட் லுக் போஸ்டரையும் வெளியிட்டுள்ளது படக்குழு. இவ்விழாவில் சாய்குமார் கலந்து கொண்டு ஃபர்ஸ்ட் லுக் போஸ்டரை வெளியிட்டார். மேலும், ஆதி மற்றும் ஓவியாவோடு நடிக்கவிருப்பவர்கள் தேர்வு மும்முரமாக நடைபெற்று வருகிறது. விரைவில் படப்பிடிப்பு தொடங்க படக்குழு திட்டமிட்டுள்ளது.",tamil-cinema
"உங்களது தற்போதைய நிலையில், புது முயற்சிகள் அவசியம் என்று நினைக்கிறீர்களா?",tamil-cinema
"இரண்டு வாசல், இரண்டு துவஜஸ்தம்பம், இரண்டு கருட சன்னிதி ஆகிய தனிச் சிறப்பு கொண்ட திருக்கோயில் இது. ",spirituality
"ஸ்லம்டாக் படம் நினைவுள்ளதா? அது ஒரு பிரபல தொலைக்காட்சி நிகழ்ச்சியை அடிப்படையாகக் கொண்டது. படத்தில் நடக்குமாறு நிஜத்தில் அமிதாப்பச்சன் அவரது போட்டியாளர்களை அப்படி நடத்துவார் என யாரும் நினைக்கவில்லை. ஆனால் இவரைப் போன்ற முட்டாள்கள், இயக்குநரின் கற்பனைதான் நிஜத்திலும் நடக்கிறது என நம்புகிறார்கள்.",tamil-cinema
"நபிகளார் வீட்டுக்குள் சென்றார். அதன்பிறகு வெளியே வந்தார். இதற்குள் தொழுகை நேரம் வந்துவிடவே தோழர் பிலாலை அழைத்து, தொழுகைக்கான அழைப்பு விடுக்கும்படி பணித்தார். தொழுகை முடிவில் நபிகளார் சிற்றுரையாற்றினார். அந்த உரையில் திருக்குா் ஆனின் சில முக்கிய வசனங்களை ஓதிக் காட்டினார்.",spirituality
கிருஷ்ணரின் இந்த விஸ்வரூபக் காட்சியை சுக முனிவர் அர்ஜூனனின் பேரனான பரீட்சித்து மகாராஜாவிடம் விளக்கினார். மகாராஜாவும் தனது மகன் ஜனமேஜயனுக்கு இந்த அற்புதக் காட்சியை விளக்குமாறு கேட்டுக்கொண்டார்.,spirituality
"“இறைவனின் தூதரே, என்னிடம் ஏராளமான தீய பழக்கங்கள் உள்ளன. ஒரே ஒரு பழக்கத்தை மட்டும் விட்டுவிடத் தயாராக இருக்கின்றேன். எதை விடச் சொல்கிறீர்கள்?”",spirituality
"கோகுல் இயக்கத்தில் உருவாகும் 'ஜுங்கா' படத்தில் விஜய் சேதுபதி, சாயிஷா சைகல், யோகி பாபு ஆகியோர் ஒப்பந்தம் செய்யப்பட்டு இருக்கிறார்கள். சித்தார்த் விபின் இசையமைக்கவுள்ளார். 'ஜுங்கா' படத்தின் ஃபர்ஸ்ட் லுக் போஸ்டரை தீபாவளிக்கு வெளியிட படக்குழு முடிவு செய்துள்ளது",tamil-cinema
செம பன்ச். நல்ல காமெடி. இதில் பாதியையாவது படத்திலயும் பண்ணீங்கன்னா நல்லா இருக்கும். வாழ்த்துகள் என்று ஆர்.ஜே.பாலாஜி பதிலளித்தார். ,tamil-cinema
"இந்நிலையில், ஜூன் மாதம் பல்வேறு பெரிய படங்கள் வெளியாகவுள்ளன. இதனால் விநியோகஸ்தர்கள் வேண்டுகோளுக்கு இணங்க, படத்தின் வெளியீட்டை செப்டம்பர் 29-ம் தேதிக்கு மாற்றியுள்ளார்கள். மேலும், படத்தின் பர்ஸ்ட் லுக் ஜூன் 5-ம் தேதி வெளியிடப்படும் என்றும் அறிவித்துள்ளார்கள்.",tamil-cinema
"ங்கு காய்ச்சல் குறித்து மக்களிடம் விழிப்புணர்வு ஏற்படுத்தும் நோக்கில் தமிழக அரசின் மக்கள் நல்வாழ்வு மற்றும் குடும்பநலத் துறை ஒரு விளம்பரப் படம் தயாரித்து வெளியிட்டுள்ளது. இதில், ஆசிரியையாக நடித்திருக்கிறார் ‘பிக் பாஸ்’ புகழ் சுஜா வருணி.",tamil-cinema
தமன்னா இப்படத்தில் பிரமாதமாக நடித்திருக்கிறார். 40 படங்களுக்கு மேல் நடித்துவிட்டார். எந்தவிதமான ஈகோவும் இல்லாமல் பாராட்டுகிறார். எப்போதுமே ஒரு படத்தின் கதையில் எப்போதுமே நான் என்னை ஒப்படைத்துவிடுவேன். அது எப்போதுமே நம்மை அழகாக கொண்டு போகும். அப்படி என்னை அழகாக கொண்டுப் போன மற்றொரு படம் 'தர்மதுரை'.,tamil-cinema
"ஆண்களுக்கு மனைவியைக் குறிக்கும் கிரகம் சுக்கிரன்,",spirituality
வியாபார ரகசியங்களை இனி கசியவிட மாட்டீர்கள். வேலையாட்கள் இனி விசுவாசமாக நடந்துகொள்வார்கள். கூட்டுத் தொழில் வளர்ச்சி அடையும். வங்கியில் வாங்கியிருந்த கடனை ஒருவழியாக கட்டி முடிப்பீர்கள். பழைய நிறுவனங்களைக் காட்டிலும் புதிய நிறுவனங்களின் பொருட்களை விற்பதன் மூலமாக அதிக ஆதாயம் அடைவீர்கள்.,spirituality
"“வணக்கத்துக்குரியவன் ஒரே இறைவனைத் தவிர வேறு கடவுளர் இல்லை! முஹம்மது நபிகளார் இறைவனின் தூதர்!” என்ற ‘கலிமா’ எனப்படும் சொற்றொடரைப் பிரகடனப்படுத்தி, தொழுகை, நோன்பு, ஜகாத் மற்றும் ஹஜ் எனப்படும் ஐந்து கடமைகள் மூலமாக அதைச் செயல்படுத்துபவர்கள் முஸ்லிம்கள் எனப்படுகிறார்கள். ",spirituality
விற்பனை மற்றும் வாங்கிய பொருட்களின் விவரங்களை தானாக ஆராய்ந்து ஜிஎஸ்டிஆர்-3பியின் கீழ் வரித்தாக்கல் செய்வதற்கு வருகிற டிசம்பர் வரை கால அவகாசம் வழங்குவதற்கு ஜிஎஸ்டி கவுன்சில் ஒப்புதல் அளித்திருந்தது.,business
மாணவர்களுக்கு சக மாணவர்களிடம் அனுசரித்து செல்வது நல்லது. கவனத்தை சிதறவிடாமல் படிப்பது அவசியம்.,spirituality
இதற்கிடையே ஏர்செல் நிறுவனத்தில் பணியாற்றும் 6 ஆயிரத்துக்கும் மேற்பட்ட ஊழியர்களுக்கு ஊதியம் கொடுக்க முடியாமல் அந்த நிறுவனம் கடும் நிதி நெருக்கடியில் இருப்பதாகத் தெரியவந்துள்ளது.,business
டென்வர் பல்கலைக்கழகத்தில் பொருளாதார பிரிவில் இளநிலை பட்டப்படிப்பும் எம்பிஏ பட்டமும் பெற்றவர்.,business
"குருபகவான் தன் சுய நட்சத்திரமான விசாகம் 1, 2, 3-ம் பாதம் துலாம் ராசியிலேயே 08.12.2017 முதல் 13.02.2018 மற்றும் 04.07.2018 முதல் 02.10.2018 வரை பயணிப்பதால் கவுரவக் குறைவான சம்பவங்கள் நிகழக்கூடும். சிறுசிறு அவமானங்கள் ஏற்படும். உத்தியோகத்தில் இடமாற்றம் வரக்கூடும். தாயாருடன் மனத்தாங்கல் வரும்.",spirituality
"இந்த புதிய தொழில்நுட்ப ஏடிஎம்-ஐ மற்ற வங்கிகளுக்கு கொடுப் பது பற்றியும் என்சிஆர் நிறுவனம் திட்டமிட்டு வருகிறது. தற்போது சில பன்னாட்டு வங்கிகளிடம் பேச்சு வார்த்தை நடத்தி வருகிறது, இன்னும் ஓரிரு மாதங்களில் பன்னாட்டு வங்கியுடன் ஒப்பந்தம் போடப்படும் என்று என்சிஆர் நிறுவனம் தெரிவித்திருக்கிறது.",business
கேரள மாநிலத்தைச் சேர்ந்த ஆட்டோ ஓட்டுநர் ஒருவர் தனது ஆட்டோவில் மேற்கொண்ட மாற்றம் பலரையும் கவர்ந்துள்ளது.,business
"* முதலில் பேசிய தயாரிப்பாளர் தியாகராஜன் ""பல படங்களில் நடித்திருந்தாலும், 'தொடரி' படத்தை தனது முதல் படம் போன்று நினைத்து தனுஷ் உழைத்திருக்கிறார். இப்படத்தின் ரயில் சண்டைக்காட்சிகளுக்காக டூப் போடாமல் நடித்திருக்கிறார்"" என்று குறிப்பிட்டார்.",tamil-cinema
"குறிப்பாக வெளிநாடுகளில் எப்படி தொழில் தொடங்குவது ? ஆந்திராவில் தொழில் தொடங்க உள்ள சாதக, பாதக நிலைகள். ஏற்றுமதி, இறக்குமதி தொழிலில் சாதிப்பது எப்படி ? போன்ற பல அம்சங்கள் விவாதிக்கப்பட உள்ளது. ",business
எம்.எல்.ஏக்கள் தங்கள் விருப்பத்தின்பேரில் தான் அங்கு 2 நாட்களாக தங்கியிருக்கிறார்கள் என்றால் அவர்கள் வேலை செய்யாமல் ஏன் அங்கு ஏன் இருக்கிறார்கள் என மக்கள் கேள்வி கேட்க வேண்டும்.,tamil-cinema
"மாணிக்கவாசகர் அருளிய திருப்பள்ளியெழுச்சிப் பாடலை, பரமேஸ்வரனைத் தொழுது பாடுங்கள். பாடித் தொழுது ஆத்மார்த்தமாகப் பிரார்த்தனை செய்யுங்கள். எல்லா சத்விஷயங்களும் உங்களை வந்தடையும் என்பது உறுதி!",spirituality
"இந்த விவகாரம் நடிகர் சங்கச் செயலாளர் விஷால், டி.ராஜேந்தருக்கு தனது கடும் கண்டனத்தை தெரிவித்திருக்கிறார். மேலும், இதில் தமிழ் திரையுலகினர் பலரும் தன்ஷிகாவுக்கு ஆதரவாக தங்களுடைய கருத்துகளை சமூகவலைத்தளத்தில் பகிர்ந்துள்ளார்கள். அவற்றில் சில",tamil-cinema
மிழில் ‘யானைமேல் குதிரை சவாரி’ திரைப்படம் மூலம் அறிமுகமானவர் கன்னட நடிகை அர்ச்சனா சிங். தற்போது ‘மவுனிகா’ என்ற பேய் படத்தில் பேய் கதாபாத்திரத்தில் நடித்துவருகிறார். அவருடன் ஒரு நேர்காணல்..,tamil-cinema
இதனைத் தொடர்ந்து ஹரி இயக்கத்தில் உருவாகும் 'சாமி 2' படப்பிடிப்பில் கலந்து கொண்டுள்ளார் விக்ரம். ஆறுச்சாமி கதாபாத்திரத்துக்காக முழுமையாக மாறியுள்ள விக்ரமின் புகைப்படம் இணையத்தில் வைரலாக பரவி வருகிறது.,tamil-cinema
"ஸ்ரீசரவணனின் கேமராவும், இமானின் இசையும் படத்துக்கு கூடுதல் பலம் சேர்க்கின்றன. ஆஹா ஆஹா பாடலும், அம்முக்குட்டி பாடலும் ரசனை அத்தியாயங்கள்.",tamil-cinema
தை பிறந்தால் வழி பிறக்கும் என்பார்கள். தை மாதம் உத்தராயன புண்ய காலம் தொடக்க மாதம் என்று போற்றுகிறார்கள் ஆச்சார்யப் பெருமக்கள். இந்த தை மாதமே பிரதோஷ நாளில் தொடங்கியது அல்லது தை மாதப் பிறப்பில் பிரதோஷமும் சேர்ந்து வந்தது என்று பெருமையுடன் விவரிக்கிறார் பாலாஜி வாத்தியார்.,spirituality
குறிப்பாக இந்தியாவில் எஸ்யுவி-க்களின் சந்தை விரிவடைந்து வருகிறது. இத்தகைய சந்தர்ப்பத்தில் தங்களது சொகுசு வாகன அறிமுகம் விற்பனையை அதிகரிக்க உதவும் என்று நிறுவனம் உறுதியாக நம்புகிறது. ,business
"பாலா இயக்கத்தில் ஜோதிகா, ஜி.வி.பிரகாஷ் நடிப்பில் தொடங்கப்பட்ட 'நாச்சியார்' படமும் இறுதிக்கட்டத்தை எட்டியுள்ளது குறிப்பிடத்தக்கது.",tamil-cinema
பரிகாரம்: செவ்வாய்கிழமை அன்று அருகிலிருக்கும் ஏதேனும் ஒரு கோவிலுக்குச் சென்று முருகனை ஒன்பது முறை வலம் வரவும்.,spirituality
என்றாலும் சில நல்ல பாடல்களை இசையமைத்திருந்தும் அதற்கான திரைப்படங்கள் தோல்வியுறும்போது அப்பாடல்கள் மக்களிடம் செல்லமுடியாமல் போவதுகுறித்து அவருக்கு வருத்தம் இருந்தது. அதனாலேயே அவருக்கு வந்த பல வாய்ப்புகளையும் மறுத்துவந்தார்.,tamil-cinema
அனைத்து வங்கிகளும் இந்த நடைமுறையை புரிந்து கொண்டுள்ளன. மேலும் அதற்கான வேலைகளையும் தொடங்கியுள்ளன. பல வங்கிகள் ஆதார் பதிவு இயந்திரங்களைக் கொள்முதல் செய்வதற்கான வேலைகளை தொடங்கியுள்ளன. இது ஆரோக்கியான போக்கு என்று அஜய் பூஷன் பாண்டே தெரிவித்தார். ,business
"வெறுமனே யாரும் சுவனத்தில் நுழையும் வாய்ப்பில்லை. அதற்கு இறைவனின் கருணை என்னும் அனுமதி தேவை. அதைப் பெறுவதற்கான தகுதிகளை வளர்த்துக்கொள்ள திருக்குா்ஆனில், இறைவன் ஒரு பட்டியலே தருகிறான். அதைப் பின்பற்றி நடக்க வலியுறுத்துகிறான். ",spirituality
பானாசோனிக் நிறுவனம் பேட் டரியை தயாரித்து அளிக்கிறது. உள் நாட்டிலேயே பேட்டரி தயாரிக்கும் நிலை வரும்போது ஹைபிரிட் கார்களின் விலை குறையும். இருப்பினும் இந்தியாவில் ஹைபிரிட் மாடல் கார்களை அதிகம் விற்க கவனம் செலுத்தப் போவதாக ஜெய்சங்கர் கூறினார்.﻿,business
கடந்த மூன்று ஆண்டுகளில் மியூச்சுவல் பண்ட் நிறுவனங்கள் கையாளும் சொத்து மதிப்பு இரு மடங்காக உயர்ந்திருக்கிறது. கடந்த 2014-ம் ஆண்டு ஆகஸ்ட் மாதம் மியூச்சுவல் பண்ட் நிறுவனங்களின் சொத்து மதிப்பு ரூ.10.10 லட்சம் கோடியாக இருந்தது. தற் போது ரூ.20.60 லட்சம் கோடி யாக இருக்கிறது.,business
"அதிர்ஷ்டமான தேதிகள்: ஏப்ரல் 29, 30, மே 1 (பிற்பகல்).",spirituality
தயாரிப்பாளர் சங்கப் பணத்தை கையாடல் செய்யவில்லை என நிரூபிக்கத் தயாரா என்று விஷாலுக்கு தயாரிப்பாளர் சுரேஷ் காமாட்சி கேள்வி எழுப்பியுள்ளார்.,tamil-cinema
சென்னையில் 'சாமி 2' படப்பிடிப்பு தொடக்கம் ,tamil-cinema
நீண்ட இடைவெளிக்குப் பிறகு ஒவ்வொரு ஊருக்கும் சென்று திரும்புகிறேன். நிறைய மாற்றங்கள் உருவாகியிருக்கின்றன. இதைப் பார்க்கவே சந்தோஷமாக இருக்கிறது.,tamil-cinema
கடந்த ஓராண்டில் இந்நிறுவனம் 5.25 லட்சம் டிராக்டர்களை விற்பனை செய்துள்ளது. முந்தைய ஆண்டு இதே காலத்தில் 4.8 லட்சம் டிராக்டர்களே விற்பனையாகியுள்ளது. இந்த ஆண்டு 12 சதவீதம் முதல் 15 சதவீத அளவுக்கு இத்துறை வளர்ச்சி இருக்கும் என்று டிராக்டர் தயாரிப்பு நிறுவனங்கள் தெரிவிக்கின்றன.,business
ஏற்கெனவே சீனாவில் இத்தகைய சோதனை முயற்சிகளை நிசான் எடுத்துள்ளது. சீன சந்தை யில் தனது கூட்டாளியான பிரான் ஸின் ரெனால்ட் நிறுவனத்துடன் கைகோர்த்து களமிறங்கியுள்ளது. சீனாவில் குறைந்த விலையிலான பேட்டரிகளைத் தயாரிப்பதற்கான ஆய்வுகளையும் இந்நிறுவனம் மேற்கொண்டுள்ளது.,business
